"","Total revenue","General revenue","Intergovernmental revenue","Taxes","General sales","Selective sales","License taxes","Individual income tax","Corporate income tax","Other taxes","Current charge","Miscellaneous general revenue","Utility revenue","Liquor stores revenue","Insurance trust revenue","Total expenditure","Intergovernmental expenditure","Direct expenditure","Current operation","Capital outlay","Insurance benefits and repayments","Assistance and subsidies","Interest on debt","Exhibit: Salaries and wages","Total expenditure.1","General expenditure","Intergovernmental expenditure.1","Direct expenditure.1","Education","Public welfare","Hospitals","Health","Highways","Police protection","Correction","Natural resources","Parks and recreation","Governmental administration","Interest on general debt","Other and unallocable","Utility expenditure","Liquor stores expenditure","Insurance trust expenditure","Debt at end of fiscal year","Cash and security holdings"
"Hawaii","16136298","13451636"," 2787412"," 7029026"," 3239225"," 1126631","  269224"," 2095601","  184840","  113505"," 1896868"," 1738330",NA,"       0"," 2684662","12680681","  328020","12352661"," 9715969","  914929"," 1488946","  118899","  113918"," 3353048","12680681","11191735","  328020","10863715"," 3409731"," 2984204","  619245","  550157","  439255","   44877","  228646","  161860","   84206","  595200","  113918"," 1960436","       0",NA," 1488946"," 9656278","24623403"
"Idaho","13433354","10148878"," 2622679"," 4511208"," 1650498","  594858","  383702"," 1660248","  216641","    5261"," 2538797","  476194",NA,"  164153"," 3120323"," 9571879"," 2408604"," 7163275"," 5257363","  457908"," 1146546","  159842","  141616"," 1470850"," 9571879"," 8298096"," 2408604"," 5889492"," 3115269"," 2495878","   52251","  151848","  704780","   65099","  280588","  242630","   39105","  393557","  141616","  615475",NA,"  127237"," 1146546"," 3369178","25117950"
"Illinois"," 87942021"," 67992261"," 19736635"," 37978923"," 11363366","  7266528","  2793983"," 13256769","  2877499","   420778","  5360979","  4915724",NA,NA," 19949760"," 85515251"," 19192558"," 66322693"," 40462146","  5544884"," 15292921","  1529313","  3493429","  8199405"," 85515251"," 70222330"," 19192558"," 51029772"," 18520513"," 23289719","  1653877","  1989331","  6762593","   439719","  1358464","   238887","   270821","  1442772","  3493429"," 10762205","        0",NA," 15292921"," 61821319","155112477"
"Indiana","43733220","38491515","14712679","18051598"," 7556326"," 3338102","  681547"," 5435292"," 1025498","   14833"," 3549814"," 2177424",NA,NA," 5241705","42083220","11213561","30869659","23479057"," 2236324"," 2880788"," 1382810","  890680"," 4578985","42083220","39158148","11213561","27944587","15742709","13967124","  140733","  571486"," 2465799","  267728","  708261","  385009","   51922","  812627","  890680"," 3154070","   44284",NA," 2880788","21842716","51894819"
"Iowa","26798284","21134343"," 6245956"," 9755430"," 3205997"," 1407088","  947549"," 3655462","  432020","  107314"," 3619516"," 1513441","       0","  306174"," 5357767","23251836"," 5505683","17746153","12246043"," 2043786"," 2629519","  620231","  206574"," 3573499","23251836","20409385"," 5505683","14903702"," 7282938"," 6010233"," 1887069","  275215"," 2304141","  104622","  288880","  294582","   31175","  598565","  206574"," 1125391","       0","  212932"," 2629519"," 6149694","44122139"
"Kansas","21425762","17685552"," 4160844"," 8173821"," 3209506"," 1092059","  421080"," 2327652","  386966","  736558"," 4118746"," 1232141",NA,NA," 3740210","19597970"," 4860179","14737791","10931043"," 1505017"," 1912827","  208775","  180129"," 2951778","19597970","17685143"," 4860179","12824964"," 7402958"," 4101965"," 2681576","  397821"," 1239281","  111385","  350931","  224912","   38835","  474356","  180129","  480994",NA,NA," 1912827"," 7538475","24066258"
"Kentucky","33778547","27713601","10829538","11907759"," 3490639"," 2159069","  500447"," 4394185","  458650","  904769"," 3907379"," 1068925","       0",NA," 6064946","36311322"," 5713675","30597647","22121787"," 2175833"," 4550003"," 1104855","  645169"," 4373700","36311322","31724376"," 5713675","26010701","11263480","11508013"," 1894482","  500808"," 1996782","  274012","  666606","  396106","  128387"," 1188743","  645169"," 1261788","   31081","    5862"," 4550003","14403514","41000955"
"Louisiana","36526284","27794345","12636842","11104720"," 4215378"," 2799119","  368318"," 2949939","  291321","  480645"," 2066634"," 1986149","    8821",NA," 8723118","33813850"," 6415070","27398780","19142386"," 2143229"," 4662324","  636171","  814670"," 4049934","33813850","29143517"," 6415070","22728447"," 9299171","11226836","  356728","  421737"," 1493443","  358733","  667656","  796006","  347548","  954369","  814670"," 2406620","    8009",NA," 4662324","18092508","62499521"
"Maine","10630716"," 8579443"," 3020597"," 4232556"," 1441867","  723275","  274760"," 1534866","  175239","   82549","  859687","  466603","    9835","      33"," 2041405"," 9062175"," 1300980"," 7761195"," 5997125","  399970"," 1028113","  167960","  168027"," 1069165"," 9062175"," 7991317"," 1300980"," 6690337"," 2145990"," 3257172","   62151","  147468","  692905","   97008","  162568","  141696","    7075","  436373","  168027","  672884","   42745","       0"," 1028113"," 4750384","19481257"
"Maryland","47556977","41021463","13203944","21599795"," 4609538"," 4633222","  866391"," 9066709"," 1001934"," 1422001"," 3810875"," 2406849","  149012",NA," 6386502","45313681"," 9631764","35681917","25026384"," 3329842"," 4367219"," 1761798"," 1196674"," 5495407","45313681","39692648"," 9631764","30060884","12663513","12929570","  578878"," 2190864"," 2556791","  643786"," 1479811","  563293","  185408"," 1495436"," 1196674"," 3208624"," 1253814",NA," 4367219","28027363","51861857"
