"","Country","Broadband","Cells","Servers","Exports","mac.addresses","IXP"
"79","GAB",0.73906111,131.5092757,28.6400376863392,NA,NA,NA
"80","GBR",39.30539137,119.5259996,150,68625231685,"711",9
"81","GEO",19.7063645,140.6520757,2360.24424866497,22175542,"2",NA
"82","GHA",0.197026881,127.4614479,95.1666541870259,39603960,NA,1
"83","GIB",50.25310231,118.6977525,150,NA,NA,NA
"84","GIN",0.00886203,92.00155758,1.49404238802703,NA,NA,NA
"85","GMB",0.190424685,141.199904,50.4625415601875,3864,NA,1
"86","GNB",0.033793894,77.08779374,2.68631906056199,NA,NA,NA
"87","GNQ",0.149642381,44.65708861,0,NA,NA,NA
"88","GRC",33.85613668,115.9262469,3696.0882895116,1195621281,"10",1
"89","GRD",20.62137723,104.9635984,241.13146301878,NA,NA,1
"90","GRL",NA,NA,2527.99487279913,NA,NA,NA
"91","GTM",3.13950339,118.1687909,68.288633052538,233781908,NA,NA
"92","GUM",NA,NA,730.687028478527,NA,NA,NA
"93","GUY",8.342000285,82.68979339,32.1395008606958,248161,NA,NA
"94","HIC",32.4078405430508,125.541606450639,150,NA,NA,NA
"95","HKG",36.09110966,249.7631259,10484.8681629395,141717301208,"289",NA
"96","HND",2.573699683,88.86604921,80.9492257314491,44135655,NA,1
"97","HPC",0.511262418636679,65.5895661492721,16.3818323702158,NA,NA,NA
"98","HRV",26.15871711,103.0130428,14607.9639115332,782231223,"5",1
"99","HTI",0.27228282,57.42400964,4.55322441595563,NA,NA,1
"100","HUN",30.53057642,113.4737751,13627.1417371086,13478758793,"24",1
"101","IBD",13.1040695842261,108.250416617637,885.017996396303,754704791726,NA,NA
"102","IBT",10.1255838571865,99.5819541919926,679.898340699022,755969768745,NA,NA
"103","IDA",1.2894454160697,73.9059441495428,74.8755184741999,NA,NA,NA
"104","IDB",1.28419516852692,76.9211315506997,171.335976962071,576094676,NA,NA
"105","IDN",2.354593178,164.8514458,1283.84874265155,3956863169,"15",23
"106","IDX",1.2920529059827,72.4107393353611,27.0502260326744,NA,NA,NA
"107","IMN",NA,NA,4508.40580397926,NA,NA,NA
"108","IND",1.333354912,87.2849181,123.053648032517,14455947950,"137",5
"109","IRL",29.43000724,102.8816649,150,25727976922,"30",3
"110","IRN",12.39209402,107.249831,224.339262470875,273696394,"3",1
"111","IRQ",NA,87.3050908,10.2156473514641,NA,NA,1
"112","ISL",39.86986046,122.5765241,150,87522808,"2",1
"113","ISR",28.14372769,126.6587916,6967.62420667256,7358944000,"261",1
"114","ITA",27.94205516,141.2932687,7744.06154123773,27787004391,"305",9
"115","JAM",8.273192497,106.9516337,138.739971193292,2482984,NA,NA
"116","JOR",3.439279111,100.0096265,108.942645150099,82836536,"6",NA
"117","JPN",31.79404704,135.5380911,5980.23609852766,83661306984,"1589",9
"118","KAZ",14.15089753,146.6302368,1232.24725708979,1771744273,"2",1
"119","KEN",0.58008813,86.14733981,36.961873254296,45768895,NA,1
"120","KGZ",4.268122519,121.915374,103.09444677487,88631056,NA,NA
"121","KHM",0.834925871,116.0421129,55.1689735690633,NA,NA,2
"122","KIR",0.065293218,39.62525129,25.7736387223148,NA,NA,NA
"123","KNA",28.90956726,138.906857,2927.0936850664,6830730,NA,NA
"124","KOR",41.57512428,124.8645076,1196.51341664018,72699710197,"2103",2
"125","KWT",3.940841208,172.5803137,474.794320260856,184691159,"2",NA
"126","LAC",11.1161903846247,103.899336971402,721.947547981759,62743212248,NA,NA
"127","LAO",0.396855716,54.12257807,16.6225343240753,NA,NA,NA
"128","LBN",NA,72.32533375,133.665287979643,38873149,"1",3
"129","LBR",0.190198199,56.21413443,1.9019819920345,NA,NA,NA
"130","LBY",4.98853578,94.43706099,968.528927860125,NA,NA,NA
"131","LCA",17.77023551,98.79783498,195.701281563821,2802779,NA,NA
"132","LCN",11.9088877887378,107.456390050453,997.729242317105,NA,NA,NA
"133","LDC",1.1496769418345,67.2187510771229,23.4918044199882,NA,NA,NA
"134","LIC",0.747737034309815,58.8748700904235,15.0932101364039,NA,NA,NA
"135","LIE",42.85902642,122.3616898,150,NA,"1",1
"136","LKA",5.846188879,135.0730235,305.213579556053,69005957,NA,NA
"137","LMC",2.35561857039366,97.3419012356905,323.758161656943,107134393744,NA,NA
"138","LMY",9.94637014366958,98.496868636768,602.211926290976,NA,NA,NA
"139","LSO",0.215865124,70.90446188,18.8059224327341,1166622,NA,1
"140","LTE",22.9907605114654,114.314032837709,1132.19396029599,679448703363,NA,NA
"141","LTU",27.63622562,150.8955308,13058.2523070439,2160520241,"9",4
"142","LUX",36.78089998,136.0859021,150,739535354,"4",2
