GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72,HD02_VD72,HD01_VD73,HD02_VD73,HD01_VD74,HD02_VD74,HD01_VD75,HD02_VD75,HD01_VD76,HD02_VD76,HD01_VD77,HD02_VD77,HD01_VD78,HD02_VD78,HD01_VD79,HD02_VD79,HD01_VD80,HD02_VD80,HD01_VD81,HD02_VD81,HD01_VD82,HD02_VD82,HD01_VD83,HD02_VD83,HD01_VD84,HD02_VD84,HD01_VD85,HD02_VD85,HD01_VD86,HD02_VD86,HD01_VD87,HD02_VD87,HD01_VD88,HD02_VD88,HD01_VD89,HD02_VD89,HD01_VD90,HD02_VD90,HD01_VD91,HD02_VD91,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97
0400000US12,12,Florida,20772371,8045,917293,9292,3071458,4585,497499,6310,1265944,6756,1398111,6691,1309726,6054,1295431,17134,1240336,17689,1344398,5292,1416939,5406,1456547,16118,1343457,15318,1272449,12488,1072420,12483,1870363,4275,17554348,46036,736096,12277,2611024,16012,378713,8718,941687,12696,1020917,12493,1028078,10798,1067945,15172,1042171,17995,1152691,8320,1251249,9553,1287823,15656,1196341,15098,1150788,13679,978208,14261,1710617,7991,1746306,41479,109914,7434,282777,14221,46425,4625,171896,9019,207678,9118,156151,7107,123798,7692,107922,7226,112067,6226,91507,5693,87294,6633,71536,5596,49613,4611,41753,3563,85975,4948,656075,21858,32579,3849,74944,6668,43601,3577,78613,5606,89162,7541,57485,5292,48048,4372,40081,4584,37637,4808,31338,3848,31302,4401,28353,3248,23989,2798,13994,2185,24949,3652,566476,18973,26241,4324,58697,5489,22165,2324,53069,5149,58803,5993,43610,4841,33473,3898,28582,3953,29680,3019,32140,3140,37975,3680,37888,3530,35781,3328,29031,3708,39341,4189,249166,15822,12463,2473,44016,5876,6595,1720,20679,2721,21551,3421,24402,3823,22167,3607,21580,3888,12323,2233,10705,2325,12153,2684,9339,1838,12278,2113,9434,2279,9481,1862
0400000US13,13,Georgia,10299497,6400,525341,7671,1859542,5539,308612,8453,709976,8192,732221,7076,689145,7005,717129,12433,667007,12829,715848,6161,702441,6218,671921,9270,598464,8647,499779,7994,370690,7624,531381,4640,8760762,36118,425301,8544,1617223,14447,230314,8233,508780,10006,525393,8824,541243,9182,593330,12405,581092,12590,633611,7050,627830,7227,612675,9872,553860,8541,464809,8754,351156,7648,494145,4951,723011,21638,48502,4611,130168,9860,24312,2787,86620,6288,92738,5200,71649,5819,59897,5293,42857,5091,40744,3661,35300,3047,27741,3657,19207,2352,16980,2899,8877,1527,17419,2372,479576,17845,31221,4541,63206,6979,37681,4097,69923,6247,68793,5423,40905,3984,39016,4035,24535,3051,24524,3197,24632,2858,18452,2788,11950,2136,8363,1518,5987,991,10388,1887,278889,16483,16885,2853,41206,4831,14247,2385,38524,4667,36642,4006,27797,3632,20549,3393,15535,2656,14132,3297,12309,2320,11338,2126,10761,2295,7964,1976,3693,1055,7307,1703,57259,6329,3432,1088,7739,2690,2058,668,6129,1724,8655,2448,7551,1623,4337,1298,2988,1177,2837,997,2370,914,1715,833,2686,1136,1663,724,977,448,2122,988
0400000US15,15,Hawaii,1410750,1722,72785,1707,216424,456,30365,1465,93432,1820,104970,1399,101094,1122,95529,3951,86308,3758,86219,1237,87389,859,94201,3557,88284,3535,84228,2705,60633,2649,108889,999,1231340,10978,60345,2401,189413,3659,23864,1622,75618,2492,81353,2842,82691,2386,77454,3931,74895,3818,76135,1693,80311,1635,85910,3629,81729,3493,80786,2712,57378,2902,103458,1648,108377,9733,7783,2059,19266,3504,2370,875,9089,1411,12001,1821,11697,1724,10129,1923,7723,1739,6741,1171,4192,936,4970,1333,3820,846,1702,649,2634,987,4260,1145,7306,1638,330,304,462,338,189,161,676,473,1416,730,777,466,768,375,710,498,74,120,474,469,634,418,220,325,432,328,72,87,72,91,46457,5358,3435,883,5433,1506,2467,833,6811,1341,7210,1683,4684,1173,5465,1732,2119,611,2076,801,1358,563,1696,691,1815,603,715,370,425,316,748,397,17270,3559,892,382,1850,928,1475,750,1238,982,2990,1070,1245,624,1713,939,861,528,1193,568,1054,703,991,525,700,404,593,366,124,150,351,320
0400000US16,16,Idaho,1694182,2325,93465,2418,327059,2257,50599,2791,111271,2941,112022,2459,109506,2160,115822,4936,99835,4713,100426,2514,97954,2167,109621,4358,104008,4506,93035,2866,67331,2820,102228,1093,1405344,15502,70790,3870,275657,5437,35719,2403,66392,3060,75730,4562,84722,2629,95728,4883,85142,4492,90134,2625,86329,2863,99782,4542,95616,4126,85966,3135,62763,2692,94874,1807,156668,13499,12874,2957,29949,4423,5593,1469,22906,2832,21671,3166,15016,2577,10985,2072,7794,1765,6198,1447,5890,1578,4876,1368,3764,1219,2566,877,2238,760,4348,889,53642,6238,3793,1312,8113,2281,5349,1394,10849,2313,6206,1481,4436,1172,3185,1096,2524,966,1762,715,1828,724,1660,708,1260,480,1119,589,617,359,941,473,71899,7189,5450,1717,11936,2787,3648,1230,9873,2111,8212,1928,4232,981,5237,1455,4182,1589,2146,669,3791,1433,3293,1112,3055,971,3309,1236,1644,935,1891,764,6629,2456,558,599,1404,908,290,228,1251,665,203,169,1100,588,687,576,193,161,186,242,116,190,10,21,313,488,75,98,69,120,174,200
0400000US17,17,Illinois,12659328,5300,624653,5965,2127742,2982,339329,4320,860547,4466,899293,3498,866136,3804,863272,10856,783868,11028,830570,3406,847694,2713,868447,11029,800182,10584,639510,9528,484114,9836,823971,2177,11026895,37393,515559,7125,1891736,12382,260175,4643,640238,8049,664961,8390,695170,8796,730677,12684,696561,11882,757221,6093,783834,5090,809628,10441,749859,10065,605305,9981,458972,9504,766999,3669,1031520,27905,75725,5131,162222,8953,33996,2851,128568,6309,140490,7031,108084,7151,83686,5675,55225,4608,49050,3809,44807,3686,36734,3717,32683,3355,23430,2334,17221,2322,39599,3166,334402,16902,21284,2984,38531,5113,27296,2173,52704,4041,48283,3840,32732,3315,28221,3384,18221,2991,14225,2208,10154,1453,13150,1987,10411,1677,5194,1033,3888,1003,10108,1620,195092,11000,9414,1668,23758,3712,14121,1992,31110,3473,35883,3372,20657,2420,15259,2129,9655,1722,6951,1331,6541,1069,7170,1757,4487,1074,3573,893,2154,827,4359,901,71419,5809,2671,936,11495,2794,3741,1434,7927,1571,9676,1840,9493,1753,5429,1690,4206,1237,3123,944,2358,836,1765,529,2742,823,2008,672,1879,753,2906,902
0400000US18,18,Indiana,6591598,4170,344332,4926,1154479,3228,191836,4986,465634,4996,448004,3896,420012,3389,424639,8898,393844,8849,423910,3698,432063,3166,447621,7419,421338,7043,352941,5417,246821,5385,424124,2020,5633171,21965,276684,5511,1004667,9212,135247,5282,306763,7487,324710,5321,343581,5001,356700,8226,342590,8577,379657,4642,395611,4270,413687,7438,393024,6943,332824,5138,232789,5434,394637,2882,546402,17976,42124,3620,100102,7718,19596,2299,88228,4814,66449,4539,43945,3618,38327,3734,30883,2854,27236,2993,20718,2138,17549,2124,15368,2035,11951,1975,7800,1509,16126,1818,246085,11325,16549,2729,30212,3848,21092,1712,42329,3991,35406,3268,19285,2245,19483,2562,12156,1911,7946,1525,10093,1709,10010,1614,6303,1365,4174,956,3176,780,7871,1429,142290,8504,7512,1354,16543,2444,14028,1548,23094,2704,17843,2425,11699,1811,8999,2022,7454,1788,8172,1663,5253,1272,5416,1358,4814,1097,3669,863,2759,857,5035,1200,23650,3542,1463,835,2955,1139,1873,578,5220,1478,3596,1235,1502,583,1130,486,761,438,899,434,388,247,959,574,1829,796,323,234,297,282,455,336
0400000US19,19,Iowa,3106880,2770,159792,3600,531727,2905,96966,3295,224486,3803,197362,2700,195425,3013,195794,6015,178679,4969,187630,2439,195286,2315,218856,5086,200253,5226,170256,3348,120848,3598,233520,1232,2654666,12669,131020,3246,468780,5967,63632,3594,132866,4897,138184,3838,157672,4337,167905,6148,157617,5308,170536,3061,179274,3065,203033,4856,187530,5018,161107,3339,116515,3593,218995,2025,251167,11089,16544,1916,38584,3837,11304,1436,50670,4088,31794,3185,20115,2223,17220,2096,11203,1643,10360,1776,8538,1546,9051,1689,7503,1269,5351,1029,2773,782,10157,1333,111738,6644,6559,1257,12769,1962,11460,1334,26585,3132,15305,2306,8746,2482,5091,1101,4990,1120,3828,890,4823,1343,3745,789,2590,696,1767,527,922,366,2558,753,77072,4978,5236,1364,10229,2082,9206,1079,11886,2025,10115,2007,7963,1388,4565,1215,4090,1312,2753,899,2321,767,2929,859,2048,670,1650,521,590,310,1491,540,12237,2764,433,263,1365,808,1364,469,2479,925,1964,890,929,470,1013,600,779,539,153,174,330,292,98,108,582,556,381,279,48,64,319,195
0400000US20,20,Kansas,2876925,2252,156851,3163,519526,2979,84319,3215,211701,4465,196486,3804,187625,2757,185178,5593,169446,6379,165918,2543,177303,2197,190176,4580,184945,4186,145748,3615,109892,3627,191811,1523,2413141,16713,126921,3378,449095,6027,56895,2799,125838,5345,136705,4850,148084,4028,154924,5753,147620,6096,145978,2916,160305,3001,175061,4567,170737,4173,135516,3545,103577,3716,175885,2603,260147,13342,16672,2468,42989,4471,10001,1455,49709,5222,30296,3257,22046,2215,17430,2729,12893,2188,12231,1853,10360,1492,9159,1566,7651,1316,5182,1250,3854,841,9674,1321,106000,7217,6840,1499,13835,2046,10953,1755,21115,2806,15479,2507,6609,1444,6278,1425,3998,1113,4263,872,3404,833,3788,888,2920,749,1892,707,1111,468,3515,932,86154,6863,5707,1743,11501,2585,5991,1179,13592,2154,13047,1399,8988,1800,5551,1313,4267,1004,3046,1070,2808,882,2004,678,3081,866,2981,1146,1350,710,2240,678,11483,2776,711,424,2106,986,479,255,1447,753,959,499,1898,853,995,519,668,427,400,274,426,341,164,147,556,396,177,170,0,177,497,316
0400000US21,21,Kentucky,4404279,3412,226446,3793,738248,3606,128233,4421,292399,4782,301958,3611,271813,2676,278272,6876,277398,7571,286238,2872,298007,1991,315741,6072,280478,6599,243026,5467,181163,5158,284859,1748,3721100,18613,178163,4661,630055,6901,89305,4241,195106,5758,210092,5739,210907,4716,231319,7114,239786,7561,255120,4271,266446,3496,285566,6377,261976,6564,228558,5631,172114,5090,266587,2863,390671,14096,29718,3064,68950,5110,13724,2074,55068,4238,50521,3803,34990,3384,25629,2819,23173,2827,17840,2405,16885,2366,18050,2365,10143,1825,8974,1685,5496,1215,11510,1852,173050,9113,10688,1951,22941,3170,16525,1740,25511,2770,24204,3146,13316,1788,12411,2050,8541,1455,8832,1729,7853,1412,7629,1542,4483,1337,3227,967,2435,739,4454,894,103985,7510,7423,1697,14231,2828,7929,1260,14510,1713,14913,2146,10974,1835,8021,1797,4923,992,4052,1017,5490,1377,3481,1015,3314,909,2021,730,847,511,1856,808,15473,2667,454,346,2071,1029,750,347,2204,911,2228,753,1626,587,892,456,975,562,394,280,1333,578,1015,645,562,341,246,204,271,156,452,278
0400000US22,22,Louisiana,4629962,4671,251842,5771,803029,3524,136494,5731,318320,6800,329357,4447,325119,5126,319624,7757,268649,8217,277858,3827,299568,4017,306691,6767,297300,7086,245624,5813,175195,5514,275292,2938,4030674,23379,206173,6119,701275,8642,103962,5749,241911,8322,247513,6966,270405,6480,272119,7638,237563,8282,250353,4489,274311,4491,285649,6965,278193,7033,232707,5526,167021,5117,261519,3489,349374,16701,27606,4223,69434,7112,15451,3015,37478,3830,48409,5189,28846,2990,30080,3682,17564,2470,15692,2749,14493,2187,12506,2281,10428,1992,7135,1347,5482,1326,8770,1301,164302,12115,12874,2714,23687,3543,11472,1863,25266,3735,22145,2957,17208,2905,11495,1973,8899,1655,6992,1420,6444,1315,4761,1174,4574,1433,3651,1039,1752,726,3082,819,72836,6749,5010,1753,7425,1819,5091,1237,11779,2371,9577,1933,7148,1801,5106,1677,3551,1166,4022,1134,3671,1002,3233,889,3109,1230,1850,724,834,469,1430,620,12776,2507,179,179,1208,681,518,398,1886,864,1713,960,1512,822,824,546,1072,554,799,561,649,337,542,327,996,539,281,231,106,100,491,389
0400000US23,23,Maine,1322591,1567,51074,1702,189812,1286,35695,1725,74270,1817,79732,1445,78981,1165,76604,3490,74514,3534,87276,896,97547,974,108626,3618,101719,3379,90691,3202,68470,3332,107580,668,1140136,8998,42724,1922,167935,2782,24266,1682,50307,2878,54637,2493,61856,2141,65854,3192,65581,3169,77863,1608,88333,1821,99358,3442,93934,3666,85228,3245,63595,3190,98665,1749,99353,6301,4833,965,15026,2103,4259,938,12749,2148,13119,2204,9160,1499,6044,1575,5377,1400,5079,1016,4527,1126,5411,1284,3631,990,2612,887,2336,966,5190,1222,44833,4627,2240,658,4467,972,3384,745,6259,1611,6070,1291,4780,927,2648,980,1495,796,2518,733,2237,755,1900,711,2164,983,1429,590,1335,542,1907,683,34252,3384,932,404,1720,662,3470,916,4476,1047,5240,1292,3121,800,1962,691,1987,894,1357,596,2308,978,1884,735,1745,669,1297,739,1192,586,1561,751,4017,1191,345,252,664,438,316,324,479,373,666,574,64,97,96,118,74,80,459,466,142,146,73,63,245,233,125,103,12,19,257,216
0400000US24,24,Maryland,5988007,3186,299143,3377,983637,1996,150573,3800,387050,4238,420917,3474,416354,2929,403921,9078,368615,8555,410556,3099,433986,2576,428485,7070,382184,7189,302132,5105,230763,4962,369691,1901,5168350,22507,243396,5209,849773,8693,120350,4171,300411,5873,310120,5979,318920,5872,336618,8513,319507,8242,366506,4315,395698,3446,396612,7322,360303,7345,286053,5136,219340,4853,344743,3080,440573,18974,30521,3567,83725,6692,11961,2278,38952,3658,55128,4078,49194,4655,33733,3813,28442,3332,25271,2987,23870,2861,19686,2101,12641,1846,8022,1388,6760,1413,12667,1774,165312,10738,10687,2230,20336,3366,9370,1351,19527,2875,24714,2943,22986,2949,13854,2377,9035,1876,7470,1470,6732,1452,5826,1144,4100,1096,3320,904,2299,774,5056,1045,165654,9442,11189,2000,21440,3062,7345,1399,22260,2733,26667,3017,19951,2859,15319,2446,7692,1858,8293,1912,6049,1179,4555,1042,4131,1059,3617,834,1775,777,5371,1477,48118,5690,3350,1359,8363,2245,1547,695,5900,1703,4288,1319,5303,2030,4397,1311,3939,1283,3016,1036,1637,699,1806,838,1009,589,1120,550,589,420,1854,774
0400000US25,25,Massachusetts,6789798,4401,290315,4613,1010248,1444,210528,3114,490134,3351,500228,2438,471919,1893,423417,8093,412345,8567,453335,1987,489059,1878,486459,8652,443987,8321,360704,6978,275332,7186,471788,1931,5888011,21681,240187,5933,909297,7311,144108,4218,363372,7852,359229,7231,367783,6225,359380,9233,365811,8190,413575,4041,451879,3258,453729,8278,416392,8128,342218,6450,262051,7030,439000,3361,477834,18069,28631,3544,64583,6326,16853,1981,60246,5320,70210,5036,54630,4174,34730,3446,28193,3363,22977,2698,21231,2705,21309,2844,14824,2226,9875,1810,8225,1741,21317,2192,200001,10776,10617,2421,15284,2797,20079,2527,28918,2951,34956,3786,26021,3095,14835,2550,9369,1800,9040,1670,6974,1431,5708,1153,5345,1144,4287,1066,2668,788,5900,1106,146299,9016,7000,1661,12373,2269,22112,2981,25399,3038,24295,2533,15184,2301,9133,1987,4762,1122,4113,1236,5701,1334,3190,793,4562,1172,3022,782,1311,515,4142,1230,77653,7313,3880,1199,8711,1693,7376,1524,12199,2177,11538,2191,8301,1921,5339,1316,4210,1438,3630,1175,3274,986,2523,928,2864,1039,1302,620,1077,588,1429,462
0400000US26,26,Michigan,9851330,4904,461389,5272,1603491,2667,272022,3799,695118,3935,674391,3233,591970,3266,593701,6997,563692,6612,645451,3194,682972,2756,718892,8939,683128,8674,554206,7692,424033,7524,686874,1956,8450559,29643,365555,6774,1395832,9719,194649,4898,482063,7557,487010,7229,463769,5313,499394,7323,494419,6486,581580,4753,622909,5614,660810,8742,637095,8888,525767,7989,402354,7440,637353,3349,820211,24768,61931,5207,138790,8452,30357,2625,118755,5872,101646,5697,75119,4495,55238,4486,42523,3228,39544,3168,36743,3277,34943,3330,27821,2862,15106,2003,11616,1539,30079,2459,383325,11800,20936,2556,43260,4085,33956,2488,67068,3511,57733,4092,34932,2704,25149,2644,17421,2131,16586,1894,15160,1891,14826,1834,10251,1261,7763,1185,5488,1087,12796,1812,148787,8966,10508,2080,18133,2616,10179,1194,21952,2735,21950,2501,12472,2049,10151,1856,6673,1469,5434,1178,6083,1548,5963,1406,6305,1362,4220,925,3592,967,5172,1215,48448,4526,2459,799,7476,1687,2881,755,5280,1156,6052,1483,5678,1295,3769,1210,2656,885,2307,827,2077,672,2350,828,1656,479,1350,487,983,442,1474,599
0400000US27,27,Minnesota,5510902,3342,288156,3526,943922,2435,147395,3380,353013,3888,373878,3164,384929,3036,379402,7160,321734,6709,343229,2618,365675,2104,394482,6302,356183,6379,288543,4255,204268,4161,366093,1434,4728748,17295,239230,4963,836589,6164,99105,3604,230907,5154,257262,6011,304852,4286,327601,6429,286073,6506,310059,3254,337698,3116,367427,6359,333016,5989,272647,4595,192373,4416,333909,2803,401563,15092,25916,2630,64910,5976,13617,2059,57100,3632,55081,3881,42886,3209,26931,2493,19987,2894,19163,2137,15588,1700,14604,1900,11840,1590,8210,1163,6317,1211,19413,2105,241709,8407,14890,1882,26609,3227,22802,2051,41295,3360,40243,3165,22237,2374,15627,1854,8757,1357,8518,1234,8834,1367,7537,1162,7064,1360,4986,1010,3726,917,8584,1517,115623,6938,6333,1490,10755,1971,10077,1294,21104,2630,19048,2126,12353,1906,8122,1634,5786,1551,4031,885,2945,832,4283,1142,3586,938,2370,841,1378,546,3452,899,23259,3670,1787,798,5059,1844,1794,559,2607,818,2244,766,2601,933,1121,453,1131,471,1458,684,610,304,631,308,677,317,330,213,474,265,735,465
0400000US28,28,Mississippi,2946971,3473,145338,3853,532086,2798,101796,4757,208410,5345,187806,4957,174917,5701,203280,7680,174622,7104,181253,4327,189969,3355,195996,6069,185779,5794,159420,4852,120287,4859,186012,2415,2553271,15365,115030,3769,465774,6529,75109,5308,150959,5862,141498,6034,142174,5631,168999,7060,155011,6996,163532,4893,175771,3898,181850,6357,176161,5893,150613,4974,114394,4934,176396,2741,201092,12130,18458,2597,40000,4899,7329,1465,27732,3688,23505,3137,16426,2427,16447,2449,9946,1799,8924,1925,7088,1546,7944,1627,5298,1316,4263,1235,3539,1325,4193,905,112581,7593,8959,1953,15179,2558,10320,1481,19823,2847,14595,2707,10067,1930,10036,2233,4175,1061,4454,1381,3794,1027,2476,934,2317,801,2065,693,1421,532,2900,893,73549,6399,2891,1045,10895,2583,8163,1463,9385,2217,7658,1714,5522,1350,7232,1832,4749,1431,4213,1275,2703,991,2986,1209,1906,772,2307,945,769,391,2170,678,6478,1463,0,217,238,226,875,408,511,295,550,307,728,472,566,354,741,474,130,116,613,431,740,380,97,122,172,215,164,142,353,260
0400000US29,29,Missouri,6039877,3888,300346,4843,1013660,4350,167949,4723,407647,5173,418070,3702,396392,3400,382719,7348,346445,8572,372620,3346,400856,3015,427294,7675,395610,7849,332513,6212,251174,6180,426582,1869,5108238,22203,239086,5488,869756,8729,115976,5131,258890,8144,295269,6345,310321,5629,324530,7373,298813,8411,332885,4644,361275,4442,391978,7736,367410,8607,308196,6360,236482,5935,397371,3256,491377,17506,35964,3701,85741,6889,15382,2414,81755,6191,59570,4559,42762,3883,34344,3131,24071,2519,20575,2790,22883,3246,18119,2197,14047,1957,11365,1736,7432,1482,17367,2226,250828,11303,13650,2173,35319,4526,21770,2210,35482,3658,35973,3309,26012,2778,13756,1694,13966,2713,9444,1575,10081,1652,8787,1318,7886,1546,7849,1576,4159,1153,6694,1345,164957,10094,9718,2054,19907,2857,13575,1964,27515,3499,23897,3014,14874,2228,9215,1564,8132,1688,7643,1694,6208,1362,7416,1664,5717,1153,4502,1509,2557,784,4081,1010,24477,3896,1928,1042,2937,1140,1246,521,4005,1266,3361,1292,2423,1199,874,438,1463,852,2073,693,409,244,994,405,550,313,601,346,544,307,1069,637
0400000US30,30,Montana,1039170,1406,50082,1905,168490,1435,26043,1870,70889,2380,67273,1672,65394,1476,66289,3436,58745,3343,58925,1335,64386,1875,72861,2674,79577,2757,66401,2605,47867,2492,75948,1124,883342,6867,40601,2228,148643,3002,16508,2032,41327,3155,48592,2515,52182,1969,55873,3417,51580,3335,52906,1624,57304,1670,66837,2591,73592,2586,62983,2534,45283,2588,69131,1480,83667,5723,5865,1400,9097,1862,2898,877,18478,2469,10190,1945,7660,1287,5476,1234,3327,913,3078,953,5413,1831,3303,869,2844,980,1356,589,1143,463,3539,1174,32733,2979,1734,680,4552,1198,2910,619,5207,1416,4276,954,2873,979,2065,549,1469,562,1296,460,728,360,860,392,1467,609,927,517,853,487,1516,625,35456,3743,1860,806,4970,1551,3573,773,5136,1057,4003,1028,2447,913,2455,805,1898,777,1559,596,941,500,1861,778,1618,556,1109,417,555,318,1471,806,3972,1508,22,53,1228,874,154,124,741,543,212,206,232,261,420,297,471,390,86,81,0,174,0,174,56,89,26,36,33,54,291,300
0400000US31,31,Nebraska,1894217,1845,105820,2125,342918,1199,53032,2121,133193,2528,129807,2456,129264,2387,129806,3755,106151,3329,108763,1875,116748,1854,126181,3608,117629,3676,97906,2994,69940,3018,127059,818,1586729,11557,84081,2599,293667,5004,32941,2081,81080,4048,86252,3541,104279,3356,108870,3920,93295,3262,96337,2138,105264,1880,117098,3688,110206,3599,90759,3081,65989,2834,116611,1381,174670,10132,13725,2114,29340,3481,6023,1014,31432,2892,25119,2636,13911,2084,12340,1807,6527,1454,7316,1263,6164,1315,4520,1073,4383,1032,3901,1221,2776,861,7193,1291,69122,5413,3211,1129,9693,2314,8690,1154,11314,1627,9682,1529,5351,1352,4636,1297,2457,699,3551,1446,2996,1073,2092,722,1673,562,1880,811,696,421,1200,409,52507,4964,4222,1090,6515,1646,4843,811,8156,1559,7724,1624,4751,1121,3045,1073,3256,824,1361,537,2077,622,2179,658,1117,575,1039,379,419,245,1803,496,11189,2380,581,526,3703,1401,535,368,1211,526,1030,498,972,583,915,469,616,362,198,187,247,210,292,284,250,201,327,352,60,101,252,226
0400000US32,32,Nevada,2963456,3069,149472,3338,499902,1021,65566,1589,185336,2311,221581,1900,214479,1935,205944,6541,194062,6194,201364,1747,195351,1305,196390,5159,175330,5149,158629,5010,127966,5124,172084,1080,2430163,15771,113405,3884,415730,6347,49654,2166,129674,3583,152995,4449,163242,4181,163610,6400,160743,5795,171851,3998,168803,2840,173942,5196,153909,5059,140963,4925,115265,4858,156377,2433,357716,15708,25588,2926,61085,5365,9819,1677,38944,3006,48081,3989,33890,3680,27001,2965,21879,2854,20506,2740,17399,2056,14909,1745,11648,1801,10075,1638,7857,1767,9035,1665,25351,4242,1587,722,2910,1069,1650,665,2821,1120,3184,1045,2384,882,1566,551,1400,631,976,479,1452,622,1018,431,1281,509,920,496,453,268,1749,775,133074,9455,7744,1648,17699,3550,3947,1025,12003,2171,15647,2304,13636,2575,12086,2479,8734,1397,7450,1884,6517,1690,5579,1405,8042,1567,6074,1199,4117,1153,3799,1192,17152,3228,1148,557,2478,1033,496,317,1894,746,1674,783,1327,622,1681,938,1306,524,581,433,1180,600,942,651,450,314,597,341,274,210,1124,769
0400000US33,33,New Hampshire,1330742,1551,51470,1645,194672,1262,37605,1766,88990,1953,82223,1560,81654,1803,75963,3374,75724,3291,92704,1477,103436,1206,113302,3419,96678,3447,84188,3008,58916,2978,93217,543,1134244,9693,39115,2070,173692,3075,25507,2157,60501,3022,53441,2775,58701,2540,62384,3556,67492,3026,85606,1839,93748,1681,104895,3628,89393,3436,78573,2979,54713,2988,86483,1318,101474,6491,5683,1270,13495,2139,3828,947,16641,2756,12993,1923,10052,1771,7543,1407,4938,1447,4298,1285,5593,1435,4218,967,2811,714,2865,809,2514,898,4002,1031,35738,4400,2709,901,2244,849,2849,704,4778,1137,6469,1334,4816,1006,2485,1012,1388,566,1023,408,2027,843,1965,1286,1075,450,583,387,473,299,854,435,52893,5645,3670,1416,4617,1529,5243,1011,6234,1574,8751,1674,7303,1862,3225,897,1215,554,1256,491,1800,677,1910,682,2718,940,2167,798,1013,517,1771,599,6393,1992,293,289,624,473,178,163,836,383,569,331,782,443,326,257,691,619,521,420,268,193,314,276,681,438,0,192,203,196,107,138
0400000US34,34,New Jersey,8910191,5107,424908,5438,1458435,1854,225250,3515,567060,3901,581934,2355,580460,2527,594502,10918,565289,10908,621473,2315,656487,1932,640344,8174,577577,8121,446574,6786,354995,6349,614903,2540,7968039,30575,361806,5955,1318272,8265,199265,4049,482083,6413,458636,6072,472212,6486,507954,11258,505436,10310,574377,4390,611599,3907,598545,8284,539435,8456,424114,6669,336486,6600,577819,4301,489886,20846,35035,3405,86209,6651,8890,1779,37980,4320,58097,5231,51998,4453,43662,3366,32489,3886,26722,2716,24666,2787,23712,2800,20488,2266,10681,1803,8786,1414,20471,2400,220921,12741,13055,2615,22505,3255,10788,1541,23039,2801,34404,3357,27604,3347,18798,2203,13079,2119,9884,1906,10745,2004,10172,1662,9680,1755,5855,1313,4425,1132,6888,1582,152106,10356,9433,2083,18140,3298,4614,1010,16444,2152,21480,2366,20806,3008,15939,2562,7449,1591,7215,1344,7143,1531,4900,1332,5146,1209,3748,941,3097,1199,6552,1407,79239,8423,5579,1557,13309,2779,1693,726,7514,1594,9317,2195,7840,1753,8149,1951,6836,1884,3275,1022,2334,654,3015,958,2828,744,2176,820,2201,896,3173,733
